eegid,filename,chan,abs_delta,abs_theta,abs_alpha1,abs_alpha2,abs_beta,abs_gamma1,abs_gamma2,abs_epsilon,db_delta,db_theta,db_alpha1,db_alpha2,db_beta,db_gamma1,db_gamma2,db_epsilon,rel_delta,rel_theta,rel_alpha1,rel_alpha2,rel_beta,rel_gamma1,rel_gamma2,rel_epsilon
EGI file,0228_BBLong.raw,E30,1.62168610095978,1.56065607070923,4.46044063568115,0.213357046246529,0.111759446561337,0.03048100695014,0.0256682578474283,0.0270131323486567,2.07423400878906,1.77736008167267,5.97972822189331,-7.10604619979858,-10.0443601608276,-15.2830486297607,-15.9426527023315,-15.7458477020264,0.0316219185478985,0.0304318639553256,0.0869759485125542,0.00416033561341464,0.00217924280025597,0.000594361565947788,0.000500515814975745,0.000526740068725982
EGI file,0228_BBLong.raw,E31,0.0485169291496277,0.0249253641813993,0.038000263273716,0.00587189709767699,0.00344599690288305,0.0016777312848717,0.00132677622605115,0.00179914676118642,-13.5549612045288,-16.0637741088867,-14.4530515670776,-22.4529552459717,-24.8467674255371,-27.8519020080566,-28.77659034729,-28.4134387969971,0.0472210356965661,0.0242596043066846,0.0369852669537067,0.00571505771949887,0.00335395381386791,0.00163291867448054,0.00129133797506051,0.00175109146976301
EGI file,0228_BBLong.raw,E32,28.7142524719238,16.4862747192383,23.5040645599365,1.46564590930939,0.784104883670807,0.633626580238342,0.663487732410431,0.755496084690094,14.3139629364014,12.0075263977051,13.3115339279175,1.38237690925598,-1.1595755815506,-2.03267121315002,-1.807461977005,-1.26791250705719,0.0548370275646448,0.031484651275807,0.0448868755251169,0.0027990163071081,0.00149744383192488,0.00121006798843725,0.00126709517151598,0.0014428080640191
EGI file,0228_BBLong.raw,E33,13.496787071228,11.2650651931763,19.9510307312012,1.03695356845856,0.65915435552597,0.448118209838867,0.502984046936035,0.598034977912903,11.2017650604248,10.3308582305908,12.5807027816772,-0.228977635502815,-1.92414772510529,-3.51699280738831,-2.99846506118774,-2.2724142074585,0.0366228362545371,0.0305671751913097,0.05413609854877,0.00281371995806694,0.00178858123586646,0.00121594558917351,0.00136482135032214,0.00162273712008248
EGI file,0228_BBLong.raw,E34,11.1608381271362,9.99036026000977,18.2341423034668,0.94569718837738,0.644316375255585,0.38079571723938,0.418876856565475,0.430983155965805,10.4047908782959,9.81302070617676,12.1950120925903,-0.68529212474823,-2.02798986434937,-4.21612405776978,-3.7903196811676,-3.69393181800842,0.0350917307659984,0.0314115345891979,0.0573315046727657,0.00297344634309411,0.00202584960497916,0.00119729184627752,0.00131702579693088,0.00135509045853551
EGI file,0228_BBLong.raw,E35,6.80673742294312,6.59497404098511,14.2118072509766,0.779839992523193,0.534085929393768,0.372630536556244,0.435380429029465,0.48188728094101,8.28991889953613,8.04962158203125,11.0700416564941,-1.45019125938416,-2.87584471702576,-4.33338928222656,-3.6520984172821,-3.21526026725769,0.0269124023616314,0.026075134674708,0.0561904788017273,0.00308332259301096,0.00211166296752968,0.00147330231266096,0.00172140230349596,0.00190528037462714
EGI file,0228_BBLong.raw,E36,4.56493616104126,4.56290102005005,10.2206430435181,0.561463952064514,0.309872299432755,0.135192573070526,0.137735202908516,0.147096559405327,6.57050037384033,6.49107837677002,9.60105514526367,-2.87602114677429,-5.4473614692688,-8.75805187225342,-8.66289520263672,-8.37979888916016,0.03140255715698,0.0313885538942284,0.0703086089342833,0.00386235462501645,0.0021316357289574,0.000930000383032522,0.000947491282732376,0.00101188875077575
EGI file,0228_BBLong.raw,E37,1.61114358901978,1.55452275276184,3.70691990852356,0.220427006483078,0.111157789826393,0.0289763770997524,0.0239378772675991,0.0252453554421663,2.05139303207397,1.83109724521637,5.21370697021484,-6.91368389129639,-10.1202173233032,-15.5162534713745,-16.2522163391113,-16.0723438262939,0.0341544123366475,0.032954114385777,0.0785824872553349,0.00467280209995806,0.00235641876435173,0.000614266264521718,0.000507455781072138,0.000535172808921271
EGI file,0228_BBLong.raw,E38,22.0014019012451,15.7659912109375,23.2164421081543,1.39450573921204,0.676898658275604,0.402649074792862,0.390775173902512,0.413016706705093,13.2711305618286,11.8019351959229,13.2562227249146,1.11732244491577,-1.89952039718628,-3.99306702613831,-4.10569047927856,-3.8835916519165,0.0506627233698964,0.0363044169627958,0.0534606046974659,0.00321113474201411,0.00155869748476627,0.000927181828849237,0.000899839667498224,0.00095105546753547
EGI file,0228_BBLong.raw,E39,16.4495372772217,15.0971479415894,21.7161979675293,1.62135028839111,2.10272288322449,1.66650104522705,1.44066369533539,1.01224184036255,12.1006603240967,11.6597480773926,12.9852628707886,1.84333491325378,3.03222060203552,2.18366456031799,1.57349348068237,-0.0389999374747276,0.0265513998456299,0.0243684881263309,0.035052377358079,0.00261704106815159,0.00339403068314173,0.0026899195577511,0.00232539286146001,0.00163387168269557
